sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
496,1785929201238,-47226,0,5274467,0,6959536,0
497,1785929201248,-48982,0,5274238,0,6959081,0
498,1785929201258,-50707,0,5274155,0,6958872,0
499,1785929201268,-52344,0,5273831,0,6958375,0
500,1785929201278,-53863,0,5273762,0,6958610,0
501,1785929201288,-54871,0,5273812,0,6958341,0
502,1785929201298,-56373,0,5273631,0,6958199,0
503,1785929201311,-57277,0,5273416,0,6957961,0
504,1785929201318,-58360,0,5273150,0,6957832,0
505,1785929201328,-59198,0,5272968,0,6957671,0
506,1785929201338,-59995,0,5272838,0,6957490,0
507,1785929201355,-60707,0,5272797,0,6957462,0
508,1785929201359,-61088,0,5272623,0,6957490,0
509,1785929201371,-61323,0,5272637,0,6957333,0
510,1785929201378,-61191,0,5272877,0,6957560,0
511,1785929201389,-61043,0,5272784,0,6957701,0
512,1785929201398,-61022,0,5272604,0,6957615,0
513,1785929201414,-60820,0,5272613,0,6957494,0
514,1785929201434,-60542,0,5272526,0,6957553,0
515,1785929201434,-60338,0,5272536,0,6957566,0
516,1785929201438,-59896,0,5272727,0,6957887,0
517,1785929201448,-59512,0,5272968,0,6957899,0
518,1785929201458,-59040,0,5272983,0,6957805,0
519,1785929201469,-58641,0,5272872,0,6957923,0
520,1785929201478,-58400,0,5272958,0,6958088,0
521,1785929201490,-58171,0,5272732,0,6957957,0
522,1785929201498,-58451,0,5272607,0,6957750,0
523,1785929201509,-58504,0,5272488,0,6957468,0
524,1785929201518,-58674,0,5272193,0,6957429,0
525,1785929201531,-58796,0,5272212,0,6957340,0
526,1785929201538,-58977,0,5272033,0,6957382,0
527,1785929201549,-59022,0,5272085,0,6957301,0
528,1785929201558,-58760,0,5272119,0,6957263,0
529,1785929201569,-58499,0,5272011,0,6957313,0
530,1785929201579,-58468,0,5271784,0,6957223,0
531,1785929201589,-58099,0,5271770,0,6957067,0
532,1785929201599,-58090,0,5271717,0,6957069,0
533,1785929201609,-57718,0,5271714,0,6957141,0
534,1785929201619,-57078,0,5271906,0,6957459,0
535,1785929201629,-56545,0,5272071,0,6957595,0
536,1785929201639,-55694,0,5272053,0,6957720,0
537,1785929201649,-55036,0,5271939,0,6957699,0
538,1785929201659,-54237,0,5272068,0,6957661,0
539,1785929201670,-53482,0,5272032,0,6957700,0
540,1785929201679,-52898,0,5272168,0,6957929,0
