sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
226,1785929341033,-29223,0,5894818,0,7466665,0
227,1785929341043,-27916,0,5894708,0,7466953,0
228,1785929341054,-26584,0,5894424,0,7467006,0
229,1785929341063,-25588,0,5894162,0,7466870,0
230,1785929341075,-24596,0,5894112,0,7466732,0
231,1785929341083,-23332,0,5894135,0,7466450,0
232,1785929341093,-22197,0,5894182,0,7466330,0
233,1785929341103,-20803,0,5894139,0,7466645,0
234,1785929341113,-19615,0,5893853,0,7466867,0
235,1785929341123,-18423,0,5893722,0,7466722,0
236,1785929341133,-17321,0,5893819,0,7466531,0
237,1785929341143,-16175,0,5893605,0,7466491,0
238,1785929341154,-14794,0,5893252,0,7466197,0
239,1785929341163,-13613,0,5893021,0,7465960,0
240,1785929341173,-13129,0,5892391,0,7465117,0
241,1785929341183,-13549,0,5891459,0,7464062,0
242,1785929341193,-15685,0,5890560,0,7462836,0
243,1785929341203,-19089,0,5889651,0,7461536,0
244,1785929341214,-23131,0,5888883,0,7460024,0
245,1785929341223,-28064,0,5888096,0,7458621,0
246,1785929341236,-33270,0,5887401,0,7457028,0
247,1785929341243,-38791,0,5886612,0,7455928,0
248,1785929341254,-43896,0,5886087,0,7454924,0
249,1785929341263,-49008,0,5885647,0,7454216,0
250,1785929341274,-53379,0,5885219,0,7453375,0
251,1785929341283,-57467,0,5884884,0,7452678,0
252,1785929341293,-60634,0,5884416,0,7451941,0
253,1785929341303,-63191,0,5884191,0,7451565,0
254,1785929341313,-65130,0,5884019,0,7451187,0
255,1785929341323,-66834,0,5883899,0,7451011,0
256,1785929341336,-68179,0,5883794,0,7450686,0
257,1785929341343,-69277,0,5883604,0,7450490,0
258,1785929341354,-70571,0,5883272,0,7450162,0
259,1785929341363,-71564,0,5882999,0,7449863,0
260,1785929341374,-72467,0,5882822,0,7449570,0
261,1785929341383,-73536,0,5882499,0,7449150,0
262,1785929341395,-74355,0,5882107,0,7448549,0
263,1785929341403,-75215,0,5881741,0,7448368,0
264,1785929341413,-76015,0,5881562,0,7448122,0
265,1785929341423,-76703,0,5881359,0,7447880,0
266,1785929341434,-77472,0,5881061,0,7447486,0
267,1785929341443,-77918,0,5880847,0,7447056,0
268,1785929341454,-78185,0,5880736,0,7446704,0
269,1785929341463,-78682,0,5880250,0,7446428,0
270,1785929341474,-78822,0,5880092,0,7446022,0
271,1785929341483,-79242,0,5879740,0,7445702,0
272,1785929341493,-79710,0,5879246,0,7445459,0
273,1785929341503,-80521,0,5879017,0,7445035,0
274,1785929341514,-81111,0,5878656,0,7444723,0
275,1785929341523,-81946,0,5878075,0,7443805,0
276,1785929341534,-82697,0,5877790,0,7443327,0
277,1785929341544,-83409,0,5877384,0,7443125,0
278,1785929341557,-84203,0,5877146,0,7442584,0
279,1785929341563,-84762,0,5876834,0,7442211,0
280,1785929341575,-85516,0,5876588,0,7442006,0
281,1785929341583,-86256,0,5876308,0,7441818,0
282,1785929341594,-86766,0,5876065,0,7441451,0
283,1785929341604,-87213,0,5875936,0,7441381,0
